a_divisor,b_multiplier,c_adder,collatz_conv_rate,avg_steps,et_h_a,et_h_b,et_h_c_orig,et_h_c_v2,et_h_d,et_h_e
6,1,9,0.0,0.0,2,1,2,1,1000,2
4,1,15,0.13627254509018036,7.75,1,1,1,1,1000,1
15,1,12,0.0,0.0,7,1,6,1,1000,16
15,1,19,0.9478957915831663,133.1183932346723,2,1,2,1,1000,2
15,1,10,0.0,0.0,54,1,8,3,1000,16
11,1,1,1.0,19.945891783567134,1000,1,1000,1000,1000,1000
17,1,19,0.4749498997995992,72.25738396624473,4,1,3,1,1000,4
12,1,18,0.0,0.0,2,1,2,1,1000,2
13,1,5,0.8016032064128257,33.335,1000,1,1000,1000,1000,1000
16,1,2,0.0,0.0,1000,1,1000,1000,1000,1000
13,1,1,1.0,23.028056112224448,1000,1,1000,1000,1000,1000
13,1,12,0.0841683366733467,15.333333333333334,5,1,4,1,1000,7
2,1,7,0.4308617234468938,6.432558139534883,1,4,1,1,5,1
11,1,12,0.16633266533066132,19.03614457831325,4,1,3,1,1000,4
19,1,15,0.13627254509018036,18.63235294117647,8,1,7,1,1000,18
7,1,14,0.0,0.0,1,1,1,1,1000,1
3,1,13,0.23246492985971945,7.543103448275862,1,1,1,1,10,1
8,1,19,0.31462925851703405,26.191082802547772,1,1,1,1,1000,1
19,1,20,0.10020040080160321,28.12,4,1,4,1,1000,5
18,1,14,0.0,0.0,8,1,7,1,1000,13
10,1,2,0.0,0.0,1000,1,1000,1000,1000,1000
5,1,5,0.0,0.0,4,1,2,3,1000,5
14,1,20,0.0,0.0,2,1,2,1,1000,2
11,1,19,0.15831663326653306,17.89873417721519,2,1,2,1,1000,2
14,1,15,0.1342685370741483,23.582089552238806,4,1,3,1,1000,4
19,1,6,0.1683366733466934,17.88095238095238,1000,1,1000,1000,1000,1000
10,1,2,0.0,0.0,1000,1,1000,1000,1000,1000
19,1,2,0.501002004008016,23.46,1000,1,1000,1000,1000,1000
20,1,13,0.9238476953907816,123.16919739696313,37,1,9,3,1000,25
12,1,3,0.0,0.0,1000,1,1000,1000,1000,1000
2,1,11,0.9098196392785571,9.797356828193832,1,3,1,1,5,1
20,1,5,0.0,0.0,1000,1,1000,1000,1000,1000
6,1,10,0.0,0.0,2,1,2,1,1000,2
7,1,17,0.9418837675350702,53.43617021276596,1,1,1,1,1000,1
15,1,10,0.0,0.0,54,1,8,3,1000,16
5,1,11,0.45691382765531063,13.723684210526315,1,1,1,1,1000,1
3,1,10,0.40080160320641284,9.09,1,1,1,1,11,1
7,1,14,0.0,0.0,1,1,1,1,1000,1
2,1,2,0.0,0.0,2,2,2,13,5,4
5,1,9,0.6673346693386774,17.64864864864865,2,1,2,1,1000,2
15,1,16,0.12625250501002003,24.26984126984127,4,1,4,1,1000,5
