Input,Final_RE,Final_IM,Magnitude,Mandel_Match
977,2932,0,2932.00,false
978,1,-1467,1467.00,true
979,2938,0,2938.00,false
980,1,1101,1101.00,true
981,2944,0,2944.00,false
982,1,-1473,1473.00,true
983,2950,0,2950.00,false
984,-2099,3,2099.00,true
985,2956,0,2956.00,false
986,1,-1479,1479.00,true
987,2962,0,2962.00,false
988,925,867,1267.80,true
989,2968,0,2968.00,false
990,1,-1485,1485.00,true
991,2974,0,2974.00,false
992,-11,1047,1047.06,true
993,2980,0,2980.00,false
994,1,-1491,1491.00,true
995,2986,0,2986.00,false
996,1,1119,1119.00,true
997,2992,0,2992.00,false
998,1,-1497,1497.00,true
999,2998,0,2998.00,false
1000,1690,-6,1690.01,true
